ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
2022-03-01 05:45:00,UK,1315,YXX,319,J,CA,131,0.5548530388083437
2022-03-01 07:15:00,PW,950,YLW,319,J,CA,143,0.5863838731252385
2022-03-01 06:45:00,VW,770,YYZ,320,J,CA,220,0.5357333466630749
2022-03-01 06:40:00,DO,2568,YXU,32N,J,CA,180,0.575609273456957
2022-03-01 07:30:00,AY,984,YYG,320,J,CA,174,0.5268686560278533
2022-03-01 06:40:00,SV,1564,YYJ,73H,J,CA,186,0.3648042275982043
2022-03-01 07:05:00,IK,874,YAD,321,C,CA,212,0.4888392152255976
2022-03-01 08:00:00,CN,510,EST,AT4,J,US,46,0.5404865455909049
2022-03-01 07:30:00,CN,2074,BGW,320,O,IQ,180,0.5021783600443459
2022-03-01 08:50:00,DO,987,YXC,32N,J,CA,180,0.21175820092364978
2022-03-01 08:45:00,DO,1047,YLL,AT7,J,CA,70,0.254673561713693
2022-03-01 08:10:00,DO,1123,OFF,CR9,J,US,90,0.26777899406879024
2022-03-01 07:40:00,SH,617,BWI,359,J,US,253,0.1975567384580016
2022-03-01 09:00:00,NU,534,UTM,AT7,J,US,48,0.48987232379393564
2022-03-01 08:25:00,CN,511,EST,AT7,J,US,70,0.48914447712761927
2022-03-01 08:20:00,IK,780,YXC,332,C,CA,322,0.22485170023543044
2022-03-01 09:15:00,CN,551,CKE,AT7,J,US,72,0.49414613309689825
2022-03-01 08:35:00,DO,679,YWG,32N,J,CA,180,0.32995667636145176
2022-03-01 08:10:00,JZ,817,YHM,E90,J,CA,100,0.542540665727637
2022-03-01 08:00:00,MD,1538,MJQ,32A,J,US,230,0.5249362759112357
2022-03-01 09:10:00,DO,902,CKE,32N,J,US,180,0.2994081780509914
2022-03-01 09:15:00,ZY,811,YXC,73H,J,CA,186,0.3088572803825196
2022-03-01 09:35:00,DO,817,HDI,359,J,US,300,0.131832169932832
2022-03-01 10:05:00,PW,1083,YLW,320,J,CA,148,0.587595863127238
2022-03-01 09:55:00,VD,760,FNK,333,J,US,285,0.40372862964189343
2022-03-01 10:20:00,DO,679,YQR,CR9,J,CA,90,0.28187413942505796
2022-03-01 10:35:00,PU,857,ASE,32N,J,US,189,0.5266275049489714
2022-03-01 10:40:00,BT,660,NPA,DH4,J,US,76,0.5162072287440199
2022-03-01 11:55:00,DO,973,YYJ,32N,J,CA,180,0.2313514478522846
2022-03-01 12:10:00,DO,764,AIY,CR9,J,US,90,0.26773704381846414
2022-03-01 12:10:00,IA,876,DEN,73H,J,US,186,0.5416634733258759
2022-03-01 12:00:00,DO,803,EWR,333,J,US,266,0.13226877156809166
2022-03-01 12:10:00,JZ,822,YHM,E90,J,CA,100,0.5491881111547222
2022-03-01 13:05:00,DO,1080,YJO,CR9,J,CA,90,0.2818063092827191
2022-03-01 12:40:00,DO,1415,DAB,CR9,J,US,90,0.26773704381846414
2022-03-01 12:15:00,AY,651,YYG,320,J,CA,174,0.5338297031871301
2022-03-01 12:55:00,CL,711,YQR,7M8,J,CA,197,0.5284334954890454
2022-03-01 13:25:00,UK,775,YVR,32N,J,CA,172,0.5287866892297476
2022-03-01 13:05:00,ZT,568,KEF,7M8,J,IS,160,0.5352141023571193
2022-03-01 14:05:00,CN,514,EST,AT7,J,US,70,0.5170122252864184
2022-03-01 13:35:00,DO,1456,AUM,32N,J,US,180,0.32938105927572564
2022-03-01 14:55:00,SV,1529,CKE,73H,J,US,186,0.4531314657112961
2022-03-01 15:05:00,FP,550,DXB,77W,J,AE,428,0.4079245023937976
2022-03-01 15:25:00,DO,905,CKE,CR9,J,US,90,0.2805554393941104
